occupationUri,occupationLabel,label,skills_essential,skills_optional,skills_unknown,n_total
http://data.europa.eu/esco/occupation/cf2b03cd-feb7-4f47-90f6-ff1ed6016d3d,ingénieur de réseaux informatiques/ingénieure de réseaux informatiques,DevOps,[],"[""Ansible""]",[],1
http://data.europa.eu/esco/occupation/cf2b03cd-feb7-4f47-90f6-ff1ed6016d3d,ingénieur de réseaux informatiques/ingénieure de réseaux informatiques,Network,"[""concevoir un réseau informatique"", ""déboguer un logiciel"", ""définir une stratégie technologique"", ""développer des méthodes de migration automatisées"", ""ingénierie des réseaux"", ""mettre en place un réseau privé virtuel"", ""normes de réseau"", ""outils de débogage TIC"", ""programmation informatique"", ""prévoir les besoins futurs d’un réseau TIC"", ""recueillir les commentaires des clients sur des applications"", ""routage de réseau"", ""transférer des données existantes"", ""utiliser des patrons de conception"", ""utiliser une interface spécifique à une application""]","[""ABAP"", ""AJAX"", ""APL"", ""ASP.NET"", ""Apache Maven"", ""Assembly (programmation informatique)"", ""BlackBerry"", ""C#"", ""C++"", ""COBOL"", ""CoffeeScript"", ""Common Lisp"", ""Eclipse (environnement de développement intégré)"", ""Erlang"", ""Groovy"", ""Haskell"", ""Internet des objets"", ""Java (programmation informatique)"", ""JavaScript"", ""Jenkins (outils de gestion de configuration logicielle)"", ""KDevelop"", ""Lisp"", ""MATLAB"", ""Microsoft Visual C++"", ""Objective-C"", ""OpenEdge Advanced Business Language"", ""PHP"", ""Pascal (programmation informatique)"", ""Prolog (programmation informatique)"", ""Puppet (outils de gestion de configuration logicielle)"", ""Python (programmation informatique)"", ""R"", ""Ruby (programmation informatique)"", ""SAP R3"", ""SAS language"", ""STAF"", ""Salt (outils de gestion de configuration logicielle)"", ""Scala"", ""Scratch (programmation informatique)"", ""Smalltalk (programmation informatique)"", ""Swift (programmation informatique)"", ""TypeScript"", ""VBScript"", ""Vagrant"", ""Visual Basic"", ""Xcode"", ""automatiser les tâches en nuage"", ""concevoir des réseaux en nuage"", ""concevoir la complexité de l’organisation"", ""créer un organigramme de programmation"", ""développer des idées créatives"", ""développer un prototype de logiciel"", ""développer à l’aide des services d’informatique en nuage"", ""environnement de développement intégré"", ""iOS"", ""installer un logiciel antivirus"", ""installer un pare-feu"", ""installer un équipement de communications électroniques"", ""installer une protection anti-spam"", ""outils de gestion de configuration logicielle"", ""outils de système de gestion de réseau"", ""supprimer un virus informatique ou un logiciel malveillant d’un ordinateur"", ""s’adapter aux changements des plans de développement technologique"", ""techniques de résolution de problèmes"", ""trouver des solutions aux problèmes"", ""utiliser des outils de sauvegarde et de récupération"", ""utiliser la programmation automatique"", ""utiliser la programmation concurrente"", ""utiliser la programmation fonctionnelle"", ""utiliser la programmation logique"", ""utiliser la programmation orientée objet""]",[],86
http://data.europa.eu/esco/occupation/cf2b03cd-feb7-4f47-90f6-ff1ed6016d3d,ingénieur de réseaux informatiques/ingénieure de réseaux informatiques,Security,"[""appliquer des politiques de sécurité de l’information"", ""stratégie de sécurité de l’information""]","[""mettre en œuvre les politiques de sécurité des TIC""]",[],3
http://data.europa.eu/esco/occupation/349ee6f6-c295-4c38-9b98-48765b55280e,ingénieur en informatique en nuage/ingénieure en informatique en nuage,AI/ML,"[""aligner le logiciel sur l’architecture du système"", ""technologies de dématérialisation""]","[""élaborer un modèle d’interaction""]",[],3
http://data.europa.eu/esco/occupation/349ee6f6-c295-4c38-9b98-48765b55280e,ingénieur en informatique en nuage/ingénieure en informatique en nuage,Data,"[""analyser les exigences des entreprises"", ""analyser les spécifications du logiciel""]","[""effectuer une analyse de données""]",[],3
http://data.europa.eu/esco/occupation/349ee6f6-c295-4c38-9b98-48765b55280e,ingénieur en informatique en nuage/ingénieure en informatique en nuage,Network,"[""concevoir des réseaux en nuage""]",[],[],1
http://data.europa.eu/esco/occupation/349ee6f6-c295-4c38-9b98-48765b55280e,ingénieur en informatique en nuage/ingénieure en informatique en nuage,Security,"[""cybersécurité"", ""mettre en œuvre la sécurité et le respect des règles en matière d’informatique en nuage"", ""sécurité et conformité du nuage""]","[""ingénierie de sécurité"", ""normes de sécurité des TIC""]",[],5
http://data.europa.eu/esco/occupation/349ee6f6-c295-4c38-9b98-48765b55280e,ingénieur en informatique en nuage/ingénieure en informatique en nuage,Software,"[""automatiser les tâches en nuage"", ""concevoir la complexité de l’organisation"", ""concevoir une base de données dans le nuage"", ""créer une architecture en nuage"", ""cycle de développement logiciel"", ""déboguer un logiciel"", ""déployer des ressources en nuage"", ""développer un prototype de logiciel"", ""développer à l’aide des services d’informatique en nuage"", ""gérer des clés pour la protection des données"", ""gérer les données et le stockage dans l’informatique en nuage"", ""interpréter des textes techniques"", ""intégration de systèmes de TIC"", ""modélisation orientée services"", ""outils de développement de bases de données"", ""planifier une migration vers l’informatique en nuage"", ""procéder à la reprogrammation de l’informatique en nuage"", ""programmation de systèmes de TIC"", ""programmation informatique"", ""résoudre des incidents liés à l’informatique en nuage"", ""résoudre les problèmes des systèmes d’information"", ""services web"", ""surveillance du nuage et compte rendu"", ""systèmes d’exploitation"", ""théorie des systèmes""]","[""Java (programmation informatique)"", ""Python (programmation informatique)"", ""Ruby (programmation informatique)"", ""appliquer des procédures de gestion des risques"", ""appliquer la théorie des systèmes d’information et de communication"", ""ingénierie en mégadonnées"", ""utiliser des langages de requête"", ""éthique""]",[],33
http://data.europa.eu/esco/occupation/35553663-deab-4d9a-bf22-15c1625d28e8,ingénieur en intelligence artificielle/ingénieure en intelligence artificielle,AI/ML,"[""modèles de données""]","[""ML (programmation informatique)"", ""apprentissage profond"", ""construire des modèles prédictifs"", ""utiliser l’apprentissage automatique""]",[],5
http://data.europa.eu/esco/occupation/35553663-deab-4d9a-bf22-15c1625d28e8,ingénieur en intelligence artificielle/ingénieure en intelligence artificielle,Data,"[""analyser des mégadonnées"", ""analyser les exigences des entreprises""]","[""analyse des entreprises""]",[],3
